Review Date,Reviewer Name,Review Title,Review Content,Aggregated Sentiment,Sentiment Category
21-05-2019,DarthDamsel16,Spectacular travel system,"[This review was collected as part of a promotion.] I have to say that they have outdone themselves with this travel system, it is stylish and sleek while being safe, secure, and multifunctional. The stroller it’s self is so great and it is a modular and can be used in many different ways including bassinet style and if you have two babies or one small baby and a young toddler you can put the car seat on the stroller and still use the seat for the older child! This thing is great, I keep finding new little things I love about it! The car seat is so snug, and extra cushioned for you little ones comfort and protection. One of the innovative things about this system is the car seat has safe secure which is a system that alerts you when your car turns off that your baby is still in the car. So this system works through a sensor type operation in the chest clip that communicates with a small piece that plugs into your car under neath your steering wheel, this to me is ingenious considering there have been times that people have forgotten their babies. The husband finds it a bit annoying but I think it’s great and you can never be to safe. All in all this travel system is stellar and well worth your money and I feel safer having it! By far the best travel system I have had to date.",2,positive
24-04-2019,AshleyL,Amazing Travel System!,"[This review was collected as part of a promotion.] If you are looking for an amazing travel system look no further. This stroller/car seat combo has everything you need to get your little one around easily and safe. First, let's start with the set up. It was super easy, the stroller was completely set up except for the wheels and all you had to do was push them right on and they clicked. Also, the car seat and toddler seat click on the stroller very easily no more fighting with the frame involved. The stroller has so many amazing options on how you may want your child to face while going places. The car seat and stroller design is sleek and has a beautiful black metallic shine to it. There is also a zipper where you can leave it zipped or opened so you can see your child while the sun is out without the sun getting into your babies eyes and also for added air flow so your baby doesn't get hot. The brakes on the stroller are so easy to use you just push forward to brake and backwards to remove the brake. The stroller folds up nicely and is very lightweight, no more breaking your back to bring it somewhere. The basket has so much room for you to put a diaper bag in and some other essentials. The car seat is so advanced when it comes to safety. The Sensor Safe Chest Clip helps you to know if your child is too hot or too cold, if they have unbuckled their seat belt and if too much time has went by without any movement. It sends an immediate alert to your phone to let you know for your child's protection. The car seat also has a gage for proper recline level as per age of your child. The car seat is padded wonderfully for added comfort and comes with really nice infant support pillows. No more added cost of getting infant inserts! So all in all, I would recommend this travel system to any and everyone.",2,positive
28-05-2019,RegisBrittany,Excellent quality and features.,[This review was collected as part of a promotion.] This travel system has all of the features I found myself wanting with my first child’s stroller. All of the features and accessories are of the highest quality and works without any hiccups. Car seat: The material is comfortable and even feels padded. The black color is easy to clean and will hide stains well. Adjustment of the straps is extremely easy. There is no unhooking. All you need to do is push a button on the top of the car seat and slide to adjust the height of the shoulder straps. The clip in the center of the chest is actually a sensor that works with another sensor you plug into your car to monitor the temperature inside your car and whether the seat is bucked properly. All buckles on the car seat are easy to use and can be done with just one hand. The base is extremely easy to install and has levels with differing colors to aid you in getting the proper recline based on the child’s weight. It also has a very secure and easy to use way to install the car seat base using a lap belt instead of the latch system. Stroller: The stroller moves very smooth and the brakes are easy to use and secure. The bottom basket of the stroller is very roomy. There are several places on the stroller to attach accessories such as cupholders. The actual stroller portion can be used in many different ways. It can be laid completely back and completely upright and even in between. It could work perfectly for a newborn all the way up to an older toddler. The buckles are secure and easy to use. The stroller included a detachable bumper bar. The stroller sits all the way up so an older child will be able to see everything. You can even face the stroller and car seat both ways when you attach it to the frame. The frame is very easy to fold and does not take up much room when you store it because it is separate from the stroller attachment. We love this stroller and it works very well for our toddler. We will be using this for our second child too! I cannot even think of any features that I would add to this stroller or car seat because they are perfect.,2,positive
24-04-2019,leticiama215,Great Features!,"[This review was collected as part of a promotion.] This stroller was wonderful! It is lightweight and runs very smoothly! Feels good for a walk in the park! Not to mention the car seat fits so well with my one year old! My previous car seat is too tight and not spacious for her, unlike the Evenflo one she has much more space and is longer! Thank you so much for this travel system! In the pictures below you can see she is in love with it and so am I!",2,positive
22-04-2019,Hannah28,"Easy to use, very versatile!",[This review was collected as part of a promotion.] This stoller/car seat combo is sleek in design and easy to use! The car seat let's baby relax while protecting him. The stroller is easy to maneuver and push. The bottom storage was very large making it easy to store diaper bag and toys. Fold up and store was simple and didn't take up to much room. Great for a family on the go.,2,positive
25-04-2019,MMac85,Sleek and great for my toddler!,[This review was collected as part of a promotion.] Easy to assemble and great for toddler! This is a great stroller system! We are currently using it for our almost 2 year old. He was so excited as I was assembling it (with ease) and wanted me to have him sit in it right away. He seemed super impressed with the level he was sitting and being so much higher than our usual stroller. The durability is fantastic. We had our soon front facing but I bet he would find it funny to be rear facing and seeing us push him too! We have a trip to Disney coming up and this would be a great travel system to bring with us! My only wish was that it had a tray or cup holder for my son to place his snacks or drink.,2,positive
02-05-2019,Crystal1,Great ride!,"[This review was collected as part of a promotion.] I love the overall look of this stroller. It's easy to push around in different terrains. The steering is great, very maneuverable. The only thing I don't like about it is the placement of the unlock latch to unfold the stroller. It is easy to fold up and unfold quickly. It doesn't take up a lot of space when it is folded up. It fits nicely in the back of my SUV. I recommended this stroller carseat combo for friends who's having a baby soon. The different positions of the seat is awesome and easy to change if you want to see the baby or have the baby look out you can do it with the baby in the seat it's not difficult at all.",2,positive
13-08-2020,lyss_03,Luxury feel at an affordable price,We just purchased our Evenflo Gold Shyft after looking and researching a variety of different travel systems. In my opinion the features and quality of the materials are comparable to some of the more expensive brands but at a much more affordable price point. The stroller base is incredibly easy to put together and very intuitive to use. The storage basket is large and easy to access as there are no additional bars in the way for bags to get stuck on when removing or placing them. The only thing this stroller doesn't have that could make it better is a telescoping handle to accommodate parents of different heights. Can't wait to start using it once baby arrives.,2,positive
06-05-2019,Tara K,OBSESSED!,"[This review was collected as part of a promotion.] The coach is the best! The wheels make the ride sooo smooth. I did try both for infant and toddler. The infant way is great. I also tried it with my toddler and she loved it so much, but i did feel it was a bit too small for her, like not enough room for her head.I tried to loosen straps as much as possible as well, but she will not be in a coach much longer anyway. Back to the infant seat, I felt like it was very safe and the support padding was a great added feature (usually you would have to buy separately as an insert) Super easy to click in and out of base. This is the whole package. I highly recommend!!!!",2,positive
29-04-2019,Newtonmama,Easy to use and looks great,"[This review was collected as part of a promotion.] This car seat and stroller travel system has been amazing since day 1. It was easy to install, and you can even call Evenflo for help to make sure you get the car seat base installed perfectly! They were very helpful. I love how simple it is to add the car seat to the stroller, and the stroller basket is big enough for grocery trips! Huge plus. My 12 month old son loves holding onto the little bar and looking out at everything. I’ve gotten compliments on how nice the stroller looks, too. It is a simple and classic design with lots of special details - cupholder, extendable canopy to keep sun out of the little eyes, flip flop break, etc. Very happy with this product!",2,positive
17-08-2022,NatWH,Excellent!,"We have loved this travel system! It looks so sleek, the stroller base is light and so easy to use! Our son is 6 months old now, so we have started using the “toddler seat” attachment occasionally as well- it is so versatile! The infant seat is cozy for our baby and has added safety features that give us peace of mind. My only complaints- 1.) I wish the wheels were more like bicycle tires instead of the foam/plastic. 2.) There is a screw on the under side of the foam handle that somehow caused the foam to split wide open. I called customer service and they took care of the issue right away! We are so thankful!",2,positive
25-04-2019,MM85,Easy to assemble and great for toddler!,This is a great stroller system! We are currently using it for our almost 2 year old. He was so excited as I was assembling it (with ease) and wanted me to have him sit in it right away. He seemed super impressed with the level he was sitting and being so much higher than our usual stroller. The durability is fantastic. We had our soon front facing but I bet he would find it funny to be rear facing and seeing us push him too! We have a trip to Disney coming up and this would be a great travel system to bring with us! My only wish was that it had a tray or cup holder for my son to place his snacks or drink.,2,positive
26-04-2019,Mkim7110,Practical & Convenient Stroller,"[This review was collected as part of a promotion.] The Shyft stroller is so practical for everyday use. So easy and so simple to use right out of the box. It has so many configurations and the basket underneath is huge! It solves the dilemma of needing a cart when going shopping (and not knowing where to put the infant car seat). I love that it can recline all the way back for when baby is sleeping. The wheels are pretty good on uneven city sidewalks but my brake did jam a couple times. The car seat could be lighter, I personally prefer the litemax but it’s a decent car seat. All in all, it’s a great, practical stroller and very well priced. Some more luxurious features like leather wrapped handles would help since it’s the GOLD line.",2,positive
29-04-2019,Kate T,All in one!,"[This review was collected as part of a promotion.] This all-in-one stroller/car seat works fantastic. Some features to highlight are: easy seat adjuster, extended sun shade with mesh peek through area, a big under carriage (big enough for a good size grocery shopping trip!) and the seat turns around easily. Most strollers that allow you to adjust the seats require you to take the seat out to collapse it, but not this stroller. It’s easy to collapse altogether with one click. This stroller rides and swivels smoothly. The car seat is safe and secure with a sensor for security. My baby fits safe and securely into the car seat. I recommend this product.",2,positive
26-09-2019,NurseAmberRN,"Love, love, love","I just received my new Evenflo Gold SensorSafe Shyft Modular Travel System and within a few minutes and at 9 mos pregnant, I easily put it together. The material in both the car seat and the stroller are so soft and plush, I just know that my baby will love it. And the SensorSafe buckle gives that added piece of mind knowing my baby will be safe when I’m driving and unable to keep a constant eye on her. The stroller is so easy to push, super easy to fold up and is very lightweight. I’m so glad I decided to order this new model, rather than the previous one that I originally planned on purchasing.",2,positive
26-05-2021,ShaunaleeMac,Great stroller,"I really ended up loving this stroller. It’s light weight, like all the positions you can use it in. Folds up pretty small compared to other strollers I have had. Easy to open and snap the pieces in. The basket is fairly large holds everything I need it to. Pushes smooth and turns easy. Love the color. Only thing is the car seat is kinda heavy. I have a big baby do hard to carry him in it",2,positive
27-04-2019,Momof04,Highly recommend,"[This review was collected as part of a promotion.] I have a 15, 10, 4, and a baby. Let me just say this carseat and stroller is amazing. The carseat is lightweight and I love the new technology and how it alarms you when the car turns off or the seatbelts on the baby is unbuckled while driving. The material is sturdy and easy to wipe clean with warm water and soap. The seat is slimmer and in my opinion gives baby more leg room. The stroller was so easy to put together and very lightweight and turns and moves easy with one hand. (Bonus for moms with multiple children) the stroller also has a huge under storage area which makes it so much easier to store the diaperbag under it without struggling like I have in the past with other strollers.",2,positive
27-04-2019,Mariah492,Puts my mind at ease!,"[This review was collected as part of a promotion.] It was super easy to put together! My niece is 4 months old and not only does all the padding reasure her safety the app allows us to check her comfort level! Which with the weather getting hot is amazing ! The visor is also large enough to cover her completely (while car seat is attached). It’s folds easily to fit into the trunk. The under basket is also large enough to hold a few bags while shopping or a diaper bag. Cons: It is a bit heavy lifting in and out of the trunk. Living in the city the sidewalk in narrow and the tires are bit wide and tend to bump/ get stuck onto railings etc. Overall, I would highly recommend this product for the quality and the safety features included!",2,positive
27-04-2019,Nicki2525,Light weight! Great quality!,"[This review was collected as part of a promotion.] The stroller car seat combo is amazing and light weight, it’s very sturdy and the fabric is easy to clean and made of good quality. The sensory safe option is a great add on specially if you live somewhere that it’s hot. I love that the base of the car seat has a indicator that moves to tell you if it is in the correct position. The stroller is easy to fold down and position it anyway you prefer. It has a big space in the bottom to store your diaper bag or any other items. I highly recommended this product it was also super easy to put together!!! Thank you for reading and have a great day!!",2,positive
02-07-2022,chipotliz,Easy to use,"After reviewing multiple stroller and car seat combos I decided to go with the Gold Shyft Smart Modular Travel System. I absolutely love the SensorSafe feature on the car seat. Let’s you know temperature in the car, when buckle is clipped and I clipped, if baby has been in the car seat too long and when your phone is too far away from the car seat (aka you left baby in the car). The stroller seat seems to be comfortable for my LO. She falls asleep and always looks comfortable my only complaint is the sunshade. Does not go out far enough so you have to be mindful of where the sun is heating or use a blanket for the brief moments sun is hitting the baby. Overall I am satisfied with this purchase.",2,positive
26-05-2021,SierraB,LOVE,We got the evenfloGOLD SHYFT stroller/infant seat combo. Assembly was so easy even at 37+ weeks pregnant. We love the durability of this stroller while still having good maneuverability. The wheels are perfect for our country living too. Super cute color for our son in Sapphire and love all ways he can use it til he’s older. Highly recommended!,2,positive
17-08-2020,nicki4799,Lightweight and easy to put together,"The stroller I purchased for my first child, took time to assemble. This one was a breeze! My 3 year old helped me click on the tires and that was pretty much it! I even tested out the toddler seat with her around the house and she loved it! This will be perfect for my newborn next month. I love that the toddler seat can be removed and the carseat placed on its own. This keeps the stroller light. I'm the one that has to carry it in/out of the car trunk every time, so the lighter the better. It's also not bulky looking and folds down so small that I will have so much extra trunk space now!",2,positive
02-07-2021,AlisaC,From screaming to crying to silence and looking out the window,I had the evenflo pivot expand and upgraded to this one since my 3 year old is to big for the second seat. My newborn would scream and cry every time we put him in the car seat and the whole ride we went anywhere! Today was the first time we used the shyft and he hasn’t cried once! He seems move comfortable and padded in this car seat!,2,positive
30-07-2022,Beautyy,It’s like a 2 for 1 ‼️‼️‼️ A new mom BFF,BEYOND 5 stars. It’s very easy to use. My favorite part is the SensorSafe… it’s soooo accurate. I also love how easy it is to close the carrier. You literally just have to push down and it close. BUT TO BE HONEST I WAS already sold from the color. (Grey &Pink) not only do it look fabulous it’s all around a good stroller and car seat.,2,positive
13-07-2019,ZeroMG,Smooth as can be!,"This system is so innovative and great! Gone are the days of bulky stroller and car seats. I really wish this product was around when I had my first child 8 years ago. The material is of high quality and i can see why it is a tad more expensive than basic systems. You really do get what you pay for with this one, on a positive note! My son was born a bit earlier than expected and we will have to quarantine him for the time being but we sure are excited to be going places with this system. So far we have only tried it out around the house, but I can already tell how awesome it's going to be on our future adventures! Currently saving up for the convertible car seat due to the great quality of this system!",2,positive
18-04-2019,Kate4023,Not enough words!!! WOW!!!,There are not enough words for this product safety is amazing and a feature that is out done. The best part of this travel system was not the sensor although that adds more peace of mind. The stroller is amazing with all it’s options for the car seat the baby baby all they up to the toddler. It’s amazing. More than anything the one thing I have always wanted in a car seat for a baby was the slide adjusted systems to make sure it fit just right and made life easier. Well they have done it. It’s amazing. And I couldn’t be happier with this product. I love it and you will too!!!!,2,positive
30-09-2021,Tamera,Great quality,Love this travel system! It’s so easy to use and great quality! The sensor safe technology gives me piece of mind while driving with my infant in the car. It’s a bit pricey I have no complaints so I guess it was worth it,2,positive
25-08-2020,Anonymous reviewer,Slick and stylish,"I have now been using my Shyft for 3 months. I can honestly say we really like the easy open and folding and the fact we can attach the car seat right into the stroller. It’s a smooth push, and my child seems to be very comfortable in it. He does get some of his longest sleeps while in his car seat. However, I wish there was a command centre to hold my wallet, keys, phone, etc. I had to purchase a third party command centre to attach to the handles. I also found that the cup holder attachment was fairly flimsy and I couldn’t even keep a water bottle in it while walking.",2,positive
08-11-2019,Mamapa,Great features and easy to maneuver!,Very stylish stroller. Bassinet converts to a seat with just a click under seat. I love the multiple positions this stroller offers.The basket is very spacious. It’s not bulky like other strollers on the market. Easy to fold and won’t take up much space. car seat is nicely padded and easy to remove from car seat base with just a click. Having sensor safe In car seat is another great safety feature that gives me peace of mind. Comes with never flat tires and easy foot brakes. If you’re in the market for a reliable stroller with a great price point this stroller is for you!,2,positive
24-05-2019,martyhdz,Very Stylish and Elegant!,"[This review was collected as part of a promotion.] First of all, the stroller looks so stylish and the quality rivals those of the more expensive brands. It handles well and I think the height is just right. I am 5ft tall and I don't feel overpowered by the stroller. The basket is spacious enough to hold your diaper bag and a few extras. The stroller recline feature is very easy to use and the break is also easy to flip on and off. Cons: the carrier is heavy you need to use both hands to move the handle forwards and backwards the stroller is not expandable, this is reason I don't think it is a good value for my family",2,positive
28-06-2021,Victoriab,Love it,"This stroller is beautiful I haven’t fully set it up yet but for the most part it’s definitely stylish. I love the car seat lots of padding , looks very safe for my baby as well.",2,positive
26-05-2021,gloriac,THE ONLY STROLLER YOU’LL NEED!,We recently purchased this travel system and are very impressed overall. From box to sidewalk it may have taken 10 min. A few clicks and it was ready to go. The base for the car is extremely sturdy and we have no hesitation about our sons safety. The material is very soft and seems quite comfortable for the little guy. It’s very smooth to push and the wheels are a softer material which absorbs a lot of the bumps along the way. It’s a very versatile product from infant up to toddler with multiple variations. It’s an affordable system with safety first. Highly recommend!!,2,positive
26-05-2021,MelisaM,Best stroller / car seat ever!!,Amazing I love this stroller and car seat so much! It’s save with the sensor I always know when my baby is clipped in secured and is everything every new mom would want!,2,positive
27-04-2019,WFJones,In love!,"[This review was collected as part of a promotion.] This is my favorite car seat/stroller combo I have ever used or encountered. The stroller was so easy to put together, and it just glides! the stroller and car seat are very attractive, and comfortable. The stroller has so much space underneath for storage. There was room for my diaper bag, my purse, my sister’s purse, and there was still room. I would have preferred a better cup holder, when we went over bumps or breaks in the sidewalk it would rock back and forth and almost my cup would fall out. It wouldn’t probably be an issue if I had a smaller drinking container. Love the smart clip feature on the car seat, and all of the balancing features for the base. This is a car seat that will give you full peace of mind.",2,positive
25-03-2020,Damiano,"VERY LIGHT, VERY WELL MADE, SMOOTH FEEL","After lots of review reading, we decided to get this travel system for our first born. Wow am I glad we did. After seeing and using all my friends' travel systems, I can see immediately this is a very well made and very nicely designed system that is LIGHT when compared to other makes. Even my friends wished they had gotten this system as it is so easy to move, convert from one stage to another and lift. The versatility of the system is great as well and the step by step instructions on how to install the base in your car is a breeze. Highly recommend this to anyone.",2,positive
30-04-2019,Punki,RoboStroller,[This review was collected as part of a promotion.] I thought I'd seen everything until i got this stroller/carseat for my grandson. My hands aren't as strong as they once where and I have trouble getting him latched in. Now that I have this latch sensor I have the confidence and peace of mind that he's in securely every time. It has thick straps that don't get twisted up. The seat itself is extremely lightweight and easy to attach to the stroller. Everything about it is easy and helps relieve the stress of going out with our beautiful baby boy. We feel safe and he loves it too. The stroller is so well made it will glide over any surface with ease even sand. You definitely get what you pay for here. It's the Cadillac of car sest/strollers. We're extremely happy with it.,2,positive
15-04-2022,KelseyB,MUST HAVE!,The car seat is so nice and top quality as well as the stroller and toddler attachment. I ABSOLUTELY LOVE IT!,2,positive
21-12-2019,Becca11,Beautiful design and function,"I received this stroller when I accidentally ordered it instead of the expand. I set it up and used it inside our home only when I realized it was the wrong stroller. I fell in love with it and contemplated keeping it until the new expand came in and I was able to see them side by side. This shyft is a wonderful stroller Nd if it wasn’t my need to two seats in a moments notice I would totally have kept it. It’s very sturdy, great functionality, clean lines and the most easy set up of any stroller ever. I highly recommend it if you don’t need two seats on occasion.",2,positive
06-09-2021,AlietteP,Love the set,"Very good, we loved this set. Everything we need for the new born. Disclaimer: We haven't used it yet",2,positive
